Uptake,Pro_plum,Prop2,Pump,Cost_diff,WTP
18.63372379,0.847305389,0.130239521,626.6,0.497,0.144
25.5832267,0.473755047,0.503364738,630.638,0.43,0.144
23.87045969,0.487575554,0.498992612,579.911,0.472,0.156
20.33664731,0.939903846,0.049278846,472.658,0.666,0.179
18.32857565,0.970406905,0.022194821,621.243,0.675,0.143
30.71168422,0.245253165,0.744198312,470.303,0.522,0.181
22.30534501,0.922997947,0.063655031,615.531,0.611,0.163
19.71650753,0.84,0.132307692,459.19,0.545,0.164
26.88256718,0.813349815,0.171199011,448.293,0.632,0.169
77.04498474,0.009078928,0.978913457,590.316,0.461,0.2
13.18043114,0.945812808,0.032019704,503.002,0.68,0.154
14.75538931,0.812816189,0.123102867,575.404,0.564,0.148
19.41135939,0.831944444,0.113888889,580.464,0.645,0.155
63.28378777,0.006917896,0.972874568,485.785,0.467,0.193
24.64809528,0.167843137,0.814117647,454.742,0.479,0.17
25.8391574,0.984526112,0.013539652,448.316,0.663,0.152
13.28870952,0.928395062,0.044444444,580.528,0.613,0.145
54.16871739,0.015030946,0.972811671,617.224,0.428,0.168
12.34373462,0.542521994,0.360703812,596.957,0.598,0.165
34.51127079,0.216660149,0.771607352,584.227,0.578,0.178
63.07707452,0.01445609,0.968015902,498.38,0.481,0.196
22.56127572,0.619047619,0.357963875,456.57,0.528,0.156
16.18269515,0.354211663,0.52699784,591.935,0.583,0.17
28.03425534,0.921714286,0.068,449.29,0.507,0.148
14.57820652,0.876569038,0.092050209,560.398,0.572,0.143
37.5135348,0.030369557,0.955726308,492.286,0.422,0.172
43.22275815,0.327278521,0.657425112,429.178,0.577,0.198
13.7316665,0.818877551,0.135204082,625.612,0.544,0.142
65.63638153,0.036910335,0.944904573,598.358,0.533,0.189
32.21773797,0.201183432,0.786489152,536.929,0.612,0.187
32.08977262,0.490240581,0.496141625,528.269,0.601,0.163
24.62840831,0.265544989,0.705193855,609.499,0.6,0.175
32.97568658,0.558795411,0.429732314,591.293,0.696,0.173
21.26193523,0.89893617,0.071276596,466.766,0.674,0.164
40.97844276,0.093147039,0.891882901,601.429,0.533,0.163
22.20691013,0.863465866,0.12228057,611.145,0.664,0.164
65.01624176,0.009309679,0.96943615,604.035,0.537,0.183
25.2387046,0.98961515,0.006108735,545.905,0.691,0.144
26.59710601,0.119439366,0.863497867,503.864,0.475,0.168
16.01535584,0.790794979,0.129707113,599.151,0.547,0.14
29.75686583,0.721052632,0.256842105,433.656,0.447,0.14
18.21045378,0.973184358,0.015642458,493.655,0.597,0.16
12.68825672,0.927083333,0.045138889,634.201,0.684,0.161
14.81445024,0.907534247,0.073630137,558.844,0.603,0.147
80.53942317,0.006063947,0.969955899,606.832,0.435,0.198
44.38428979,0.453941407,0.534883721,561.078,0.655,0.178
27.95550743,0.96996177,0.019661387,512.394,0.613,0.147
60.55714145,0.007736944,0.973307544,571.998,0.474,0.186
11.85156019,0.555183946,0.301003344,569.22,0.674,0.16
21.99035338,0.731328807,0.245392823,632.42,0.411,0.144
33.35958264,0.232421053,0.743578947,565.066,0.667,0.188
47.74091938,0.029374525,0.94682198,574.87,0.597,0.194
30.66246678,0.957648231,0.030393622,481.838,0.639,0.141
32.86740821,0.160163339,0.826225045,573.822,0.44,0.162
27.65035929,0.088688263,0.882103027,622.853,0.693,0.195
41.17531253,0.37340321,0.610547003,433.864,0.584,0.18
59.08061817,0.065072521,0.925519404,516.65,0.524,0.193
79.61413525,0.013250756,0.967881319,511.961,0.481,0.197
24.07717295,0.936966513,0.0558109,428.331,0.556,0.159
13.50526627,0.638190955,0.261306533,549.723,0.598,0.157
21.93129245,0.969665272,0.023012552,527.686,0.663,0.144
12.12717787,0.719298246,0.169590643,612.273,0.596,0.145
23.73265085,0.244935543,0.719152855,552.149,0.469,0.147
50.75302687,0.545546559,0.442813765,428.898,0.566,0.187
15.42474653,0.197740113,0.686440678,507.127,0.606,0.176
47.83935427,0.28197065,0.704402516,604.859,0.622,0.191
31.74525052,0.17185445,0.811047786,492.667,0.407,0.143
33.5662959,0.003705419,0.979157017,595.685,0.432,0.176
38.30101388,0.179812834,0.799799465,588.814,0.66,0.181
74.94832169,0.016802836,0.969477416,438.16,0.406,0.192
20.67132592,0.827681027,0.155820348,569.338,0.593,0.169
24.75637366,0.333756345,0.645304569,521.375,0.571,0.167
17.26547889,0.38996139,0.513513514,521.178,0.405,0.149
27.63067231,0.773958333,0.221875,459.929,0.583,0.178
34.64907963,0.43226655,0.558088558,470.136,0.617,0.199
26.24274043,0.926094372,0.054576464,549.613,0.663,0.158
71.53263116,0.006345591,0.977220957,630.3,0.493,0.192
38.84240575,0.007027407,0.981728742,603.201,0.405,0.168
27.54208091,0.81090175,0.161507402,481.138,0.481,0.15
49.62102569,0.03421859,0.946884576,510.968,0.449,0.187
62.87036126,0.035747533,0.953453733,518.326,0.518,0.186
38.91131017,0.741834607,0.252605976,495.507,0.631,0.187
34.39314893,0.95852119,0.0374211,445.386,0.67,0.18
54.29668274,0.080750764,0.909864688,635.75,0.548,0.188
12.97371789,0.490740741,0.361111111,555.647,0.646,0.166
32.1882075,0.865002312,0.12482663,461.781,0.445,0.14
31.68618959,0.084108012,0.903939796,547.591,0.489,0.175
63.81533616,0.003058654,0.985786254,599.046,0.424,0.179
28.9300128,0.590024938,0.405985037,464.625,0.574,0.177
19.98228172,0.82,0.164,552.592,0.642,0.177
37.44463038,0.941504178,0.05362117,483.2,0.446,0.143
49.9557043,0.102368421,0.886578947,592.501,0.526,0.189
16.72408702,0.182163188,0.766603416,523.93,0.441,0.169
28.37877744,0.994295493,0.003993155,493.326,0.685,0.142
22.60064967,0.985015773,0.010252366,487.994,0.658,0.15
21.53755291,0.936770428,0.040856031,530.647,0.67,0.148
71.26685697,0.013155758,0.976611986,532.827,0.484,0.19
74.44630377,0.002902979,0.970206264,596.928,0.435,0.181
47.9870066,0.404145078,0.580856286,517.918,0.563,0.172
32.64100797,0.864443482,0.128627111,424.412,0.561,0.169
13.48557929,0.656050955,0.242038217,547.562,0.634,0.157
35.1904715,0.41439206,0.571133168,552.046,0.592,0.179
41.19499951,0.101962046,0.882920553,496.51,0.42,0.165
21.75410966,0.90487239,0.088167053,569.129,0.688,0.176
62.49630869,0.325347759,0.664799073,472.629,0.578,0.19
34.77704498,0.266143106,0.720767888,524.515,0.649,0.189
37.97617876,0.581937363,0.406773489,552.333,0.697,0.19
32.94615612,0.048531811,0.918841762,587.616,0.605,0.185
16.9111133,0.855555556,0.092592593,605.84,0.658,0.146
29.5304656,0.259754738,0.724080268,563.751,0.68,0.182
43.89211537,0.290425224,0.697136245,532.074,0.524,0.167
14.80460675,0.3515625,0.5625,577.488,0.534,0.162
46.59907471,0.204926625,0.770702306,632.406,0.663,0.194
41.67733045,0.225690276,0.765606242,453.098,0.469,0.179
17.92499262,0.895666132,0.088282504,605.609,0.501,0.147
34.36361847,0.983408072,0.011659193,433.088,0.584,0.147
